date,duration_hours_sum,activity_count_sum,year_month,date_str
2017-01-17,0.0,0,2017-01,2017-01-17
2017-01-18,0.0,0,2017-01,2017-01-18
2017-01-19,0.0,0,2017-01,2017-01-19
2017-01-20,0.0,0,2017-01,2017-01-20
2017-01-21,0.0,0,2017-01,2017-01-21
2017-01-22,0.0,0,2017-01,2017-01-22
2017-01-23,0.0,0,2017-01,2017-01-23
2017-01-24,0.0,0,2017-01,2017-01-24
2017-01-25,0.0,0,2017-01,2017-01-25
2017-01-26,0.0,0,2017-01,2017-01-26
2017-01-27,0.0,0,2017-01,2017-01-27
2017-01-28,0.0,0,2017-01,2017-01-28
2017-01-29,0.0,0,2017-01,2017-01-29
2017-01-30,0.0,0,2017-01,2017-01-30
2017-01-31,0.0,0,2017-01,2017-01-31
2017-02-01,0.0,0,2017-02,2017-02-01
2017-02-02,0.0,0,2017-02,2017-02-02
2017-02-03,0.0,0,2017-02,2017-02-03
2017-02-04,0.0,0,2017-02,2017-02-04
2017-02-05,0.0,0,2017-02,2017-02-05
2017-02-06,0.0,0,2017-02,2017-02-06
2017-02-07,0.0,0,2017-02,2017-02-07
2017-02-08,0.0,0,2017-02,2017-02-08
2017-02-09,0.0,0,2017-02,2017-02-09
2017-02-10,0.0,0,2017-02,2017-02-10
2017-02-11,0.0,0,2017-02,2017-02-11
2017-02-12,0.0,0,2017-02,2017-02-12
2017-02-13,0.0,0,2017-02,2017-02-13
2017-02-14,0.0,0,2017-02,2017-02-14
2017-02-15,0.0,0,2017-02,2017-02-15
2017-02-16,0.0,0,2017-02,2017-02-16
2017-02-17,0.0,0,2017-02,2017-02-17
2017-02-18,0.0,0,2017-02,2017-02-18
2017-02-19,0.0,0,2017-02,2017-02-19
2017-02-20,0.0,0,2017-02,2017-02-20
2017-02-21,0.0,0,2017-02,2017-02-21
2017-02-22,0.0,0,2017-02,2017-02-22
2017-02-23,0.0,0,2017-02,2017-02-23
2017-02-24,0.0,0,2017-02,2017-02-24
2017-02-25,0.0,0,2017-02,2017-02-25
2017-02-26,3.010374166666667,1,2017-02,2017-02-26
2017-02-27,0.0,0,2017-02,2017-02-27
2017-02-28,0.0,0,2017-02,2017-02-28
2017-03-01,0.0,0,2017-03,2017-03-01
2017-03-02,0.0,0,2017-03,2017-03-02
2017-03-03,0.0,0,2017-03,2017-03-03
2017-03-04,0.0,0,2017-03,2017-03-04
2017-03-05,0.0,0,2017-03,2017-03-05
2017-03-06,0.0,0,2017-03,2017-03-06
2017-03-07,0.0,0,2017-03,2017-03-07
2017-03-08,0.0,0,2017-03,2017-03-08
2017-03-09,0.0,0,2017-03,2017-03-09
2017-03-10,0.0,0,2017-03,2017-03-10
2017-03-11,0.0,0,2017-03,2017-03-11
2017-03-12,0.0,0,2017-03,2017-03-12
2017-03-13,0.0,0,2017-03,2017-03-13
2017-03-14,0.0,0,2017-03,2017-03-14
2017-03-15,0.0,0,2017-03,2017-03-15
2017-03-16,0.0,0,2017-03,2017-03-16
2017-03-17,0.0,0,2017-03,2017-03-17
2017-03-18,0.0,0,2017-03,2017-03-18
2017-03-19,0.0,0,2017-03,2017-03-19
2017-03-20,0.0,0,2017-03,2017-03-20
2017-03-21,1.1747869444444445,1,2017-03,2017-03-21
2017-03-22,0.0,0,2017-03,2017-03-22
2017-03-23,0.0,0,2017-03,2017-03-23
2017-03-24,0.0,0,2017-03,2017-03-24
2017-03-25,0.0,0,2017-03,2017-03-25
2017-03-26,2.455985,1,2017-03,2017-03-26
2017-03-27,0.0,0,2017-03,2017-03-27
2017-03-28,1.0055111111111112,1,2017-03,2017-03-28
2017-03-29,3.609406111111111,1,2017-03,2017-03-29
2017-03-30,12.934598611111111,1,2017-03,2017-03-30
2017-03-31,24.0,0,2017-03,2017-03-31
2017-04-01,24.0,0,2017-04,2017-04-01
2017-04-02,15.467089722222223,1,2017-04,2017-04-02
2017-04-03,0.0,0,2017-04,2017-04-03
2017-04-04,0.0,0,2017-04,2017-04-04
2017-04-05,0.0,0,2017-04,2017-04-05
2017-04-06,13.474668888888887,0,2017-04,2017-04-06
2017-04-07,23.724475555555554,1,2017-04,2017-04-07
2017-04-08,24.0,0,2017-04,2017-04-08
2017-04-09,23.9260375,1,2017-04,2017-04-09
2017-04-10,24.0,0,2017-04,2017-04-10
2017-04-11,23.67605916666667,1,2017-04,2017-04-11
2017-04-12,24.0,0,2017-04,2017-04-12
2017-04-13,24.0,0,2017-04,2017-04-13
2017-04-14,24.0,0,2017-04,2017-04-14
2017-04-15,24.0,0,2017-04,2017-04-15
2017-04-16,23.91626638888889,1,2017-04,2017-04-16
2017-04-17,24.0,0,2017-04,2017-04-17
2017-04-18,24.0,0,2017-04,2017-04-18
2017-04-19,24.0,0,2017-04,2017-04-19
2017-04-20,24.0,0,2017-04,2017-04-20
2017-04-21,23.921485,1,2017-04,2017-04-21
2017-04-22,24.0,0,2017-04,2017-04-22
2017-04-23,24.0,0,2017-04,2017-04-23
2017-04-24,24.0,0,2017-04,2017-04-24
2017-04-25,24.0,0,2017-04,2017-04-25
2017-04-26,24.0,0,2017-04,2017-04-26
2017-04-27,23.9644875,1,2017-04,2017-04-27
2017-04-28,24.0,0,2017-04,2017-04-28
2017-04-29,24.0,0,2017-04,2017-04-29
2017-04-30,23.91672,1,2017-04,2017-04-30
2017-05-01,23.894835,1,2017-05,2017-05-01
2017-05-02,24.0,0,2017-05,2017-05-02
2017-05-03,23.877707222222224,1,2017-05,2017-05-03
2017-05-04,23.966068055555557,1,2017-05,2017-05-04
2017-05-05,24.0,0,2017-05,2017-05-05
2017-05-06,23.907094999999998,1,2017-05,2017-05-06
2017-05-07,10.00804888888889,1,2017-05,2017-05-07
2017-05-08,0.0,0,2017-05,2017-05-08
2017-05-09,5.114284166666667,0,2017-05,2017-05-09
2017-05-10,14.556317777777778,1,2017-05,2017-05-10
2017-05-11,0.0,0,2017-05,2017-05-11
2017-05-12,0.0,0,2017-05,2017-05-12
2017-05-13,0.0,0,2017-05,2017-05-13
2017-05-14,12.731886944444444,0,2017-05,2017-05-14
2017-05-15,24.0,0,2017-05,2017-05-15
2017-05-16,23.731474166666665,1,2017-05,2017-05-16
2017-05-17,24.0,0,2017-05,2017-05-17
2017-05-18,24.0,0,2017-05,2017-05-18
2017-05-19,24.0,0,2017-05,2017-05-19
