annotation,sleep_count,duration,durationHr
sleep_quiet,1,,
sleep_quiet,0,35318.0,9.810555555555556
sleep_quiet,1,,
sleep_quiet,0,32476.0,9.02111111111111
sleep_quiet,1,,
sleep_quiet,0,2842.0,0.7894444444444444
sleep_quiet,1,,
sleep_quiet,0,8352.0,2.32
sleep_quiet,1,,
sleep_quiet,0,11810.0,3.2805555555555554
sleep_quiet,1,,
sleep_quiet,0,3553.0,0.9869444444444444
sleep_quiet,1,,
sleep_quiet,0,6639.0,1.8441666666666667
sleep_quiet,1,,
sleep_quiet,0,35122.0,9.75611111111111
sleep_quiet,1,,
sleep_quiet,0,2360.0,0.6555555555555556
sleep_quiet,1,,
sleep_quiet,0,8003.0,2.2230555555555553
sleep_quiet,1,,
sleep_quiet,0,4941.0,1.3725
sleep_quiet,1,,
sleep_quiet,0,2913.0,0.8091666666666667
sleep_quiet,1,,
sleep_quiet,0,13092.0,3.6366666666666667
sleep_quiet,1,,
sleep_quiet,0,27855.0,7.7375
sleep_quiet,1,,
sleep_quiet,0,3605.0,1.0013888888888889
sleep_quiet,1,,
sleep_quiet,0,28180.0,7.8277777777777775
sleep_quiet,1,,
sleep_quiet,0,4659.0,1.2941666666666667
sleep_quiet,1,,
sleep_quiet,0,23196.0,6.443333333333333
sleep_quiet,1,,
sleep_quiet,0,8176.0,2.2711111111111113
sleep_quiet,1,,
sleep_quiet,0,34194.0,9.498333333333333
sleep_quiet,1,,
sleep_quiet,0,8345.0,2.3180555555555555
sleep_quiet,1,,
sleep_quiet,0,17436.0,4.843333333333334
sleep_quiet,1,,
sleep_quiet,0,1943.0,0.5397222222222222
sleep_quiet,1,,
sleep_quiet,0,6111.0,1.6975
sleep_quiet,1,,
sleep_quiet,0,15437.0,4.288055555555555
sleep_quiet,1,,
sleep_quiet,0,12414.0,3.4483333333333333
sleep_quiet,1,,
sleep_quiet,0,33821.0,9.394722222222223
sleep_quiet,1,,
sleep_quiet,0,2636.0,0.7322222222222222
sleep_quiet,1,,
sleep_quiet,0,31322.0,8.700555555555555
sleep_quiet,1,,
sleep_quiet,0,5408.0,1.5022222222222221
sleep_quiet,1,,
sleep_quiet,0,8818.0,2.4494444444444445
sleep_quiet,1,,
sleep_quiet,0,23682.0,6.578333333333333
sleep_quiet,1,,
sleep_quiet,0,2575.0,0.7152777777777778
sleep_quiet,1,,
sleep_quiet,0,14563.0,4.045277777777778
sleep_quiet,1,,
