date,activity_count_sum,duration_min_sum,year_month,date_str
2017-01-16,2,18.066666666666666,2017-01,2017-01-16
2017-01-17,2,2.9333333333333336,2017-01,2017-01-17
2017-01-18,0,0.0,2017-01,2017-01-18
2017-01-19,0,0.0,2017-01,2017-01-19
2017-01-20,0,0.0,2017-01,2017-01-20
2017-01-21,0,0.0,2017-01,2017-01-21
2017-01-22,0,0.0,2017-01,2017-01-22
2017-01-23,0,0.0,2017-01,2017-01-23
2017-01-24,0,0.0,2017-01,2017-01-24
2017-01-25,0,0.0,2017-01,2017-01-25
2017-01-26,0,0.0,2017-01,2017-01-26
2017-01-27,0,0.0,2017-01,2017-01-27
2017-01-28,0,0.0,2017-01,2017-01-28
2017-01-29,0,0.0,2017-01,2017-01-29
2017-01-30,0,0.0,2017-01,2017-01-30
2017-01-31,0,0.0,2017-01,2017-01-31
2017-02-01,0,0.0,2017-02,2017-02-01
2017-02-02,0,0.0,2017-02,2017-02-02
2017-02-03,0,0.0,2017-02,2017-02-03
2017-02-04,0,0.0,2017-02,2017-02-04
2017-02-05,0,0.0,2017-02,2017-02-05
2017-02-06,0,0.0,2017-02,2017-02-06
2017-02-07,0,0.0,2017-02,2017-02-07
2017-02-08,0,0.0,2017-02,2017-02-08
2017-02-09,0,0.0,2017-02,2017-02-09
2017-02-10,0,0.0,2017-02,2017-02-10
2017-02-11,0,0.0,2017-02,2017-02-11
2017-02-12,0,0.0,2017-02,2017-02-12
2017-02-13,0,0.0,2017-02,2017-02-13
2017-02-14,0,0.0,2017-02,2017-02-14
2017-02-15,0,0.0,2017-02,2017-02-15
2017-02-16,0,0.0,2017-02,2017-02-16
2017-02-17,0,0.0,2017-02,2017-02-17
2017-02-18,0,0.0,2017-02,2017-02-18
2017-02-19,0,0.0,2017-02,2017-02-19
2017-02-20,0,0.0,2017-02,2017-02-20
2017-02-21,0,0.0,2017-02,2017-02-21
2017-02-22,6,14.133333333333333,2017-02,2017-02-22
2017-02-23,15,35.5,2017-02,2017-02-23
2017-02-24,8,18.53333333333333,2017-02,2017-02-24
2017-02-25,8,28.466666666666665,2017-02,2017-02-25
2017-02-26,16,36.03333333333333,2017-02,2017-02-26
2017-02-27,11,31.633333333333333,2017-02,2017-02-27
2017-02-28,8,21.983333333333334,2017-02,2017-02-28
2017-03-01,7,35.93333333333334,2017-03,2017-03-01
2017-03-02,15,34.56666666666666,2017-03,2017-03-02
2017-03-03,6,20.666666666666668,2017-03,2017-03-03
2017-03-04,15,36.016666666666666,2017-03,2017-03-04
2017-03-05,6,19.483333333333334,2017-03,2017-03-05
2017-03-06,12,19.28333333333333,2017-03,2017-03-06
2017-03-07,5,22.46666666666667,2017-03,2017-03-07
2017-03-08,7,19.45,2017-03,2017-03-08
2017-03-09,11,33.88333333333333,2017-03,2017-03-09
2017-03-10,8,31.666666666666664,2017-03,2017-03-10
2017-03-11,8,22.883333333333333,2017-03,2017-03-11
2017-03-12,9,30.46666666666667,2017-03,2017-03-12
2017-03-13,7,23.033333333333335,2017-03,2017-03-13
2017-03-14,11,23.916666666666668,2017-03,2017-03-14
2017-03-15,7,23.28333333333333,2017-03,2017-03-15
2017-03-16,14,23.566666666666666,2017-03,2017-03-16
2017-03-17,8,26.116666666666667,2017-03,2017-03-17
2017-03-18,7,18.083333333333332,2017-03,2017-03-18
2017-03-19,8,42.05,2017-03,2017-03-19
2017-03-20,10,31.28333333333333,2017-03,2017-03-20
2017-03-21,10,47.2,2017-03,2017-03-21
2017-03-22,10,30.283333333333335,2017-03,2017-03-22
2017-03-23,6,34.66666666666667,2017-03,2017-03-23
2017-03-24,8,33.05,2017-03,2017-03-24
2017-03-25,10,40.8,2017-03,2017-03-25
2017-03-26,8,29.666666666666668,2017-03,2017-03-26
2017-03-27,10,46.61666666666667,2017-03,2017-03-27
2017-03-28,6,27.983333333333334,2017-03,2017-03-28
2017-03-29,14,43.53333333333333,2017-03,2017-03-29
2017-03-30,8,19.716666666666665,2017-03,2017-03-30
2017-03-31,0,0.0,2017-03,2017-03-31
2017-04-01,0,0.0,2017-04,2017-04-01
2017-04-02,0,0.0,2017-04,2017-04-02
2017-04-03,0,0.0,2017-04,2017-04-03
2017-04-04,0,0.0,2017-04,2017-04-04
2017-04-05,0,0.0,2017-04,2017-04-05
2017-04-06,0,0.0,2017-04,2017-04-06
2017-04-07,2,1.25,2017-04,2017-04-07
